suburb,rooms,type,price,method,maintenance_score,seller_g,bedroom2,bathroom,car,building_area,council_area,region_name,size_class
Bentleigh East,2,h,1120000.0,S,5,hockingstuart,3.0,1.0,2.0,527.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,4,t,1465000.0,S,1,Buxton,3.0,2.0,2.0,256.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,h,455920.0,SP,5,hockingstuart,3.0,2.0,3.0,139.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,h,910000.0,S,1,Buxton,3.0,1.0,1.0,96.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,3,u,920000.0,SP,5,Buxton,3.0,2.0,1.0,123.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,t,935000.0,S,0,hockingstuart,3.0,2.0,2.0,160.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,h,977000.0,S,10,Buxton,3.0,1.0,2.0,163.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,h,1352000.0,S,8,Woodards,3.0,1.0,2.0,122.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,4,h,1115000.0,SP,1,Buxton,4.0,2.0,2.0,160.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,h,780000.0,VB,6,hockingstuart,3.0,1.0,1.0,430.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,2,h,940000.0,S,4,Buxton,2.0,1.0,1.0,308.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,h,1115000.0,SP,7,hockingstuart,3.0,2.0,2.0,567.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,3,h,1197000.0,S,1,Buxton,3.0,1.0,2.0,147.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,2,u,485000.0,SP,3,Buxton,2.0,2.0,2.0,83.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,3,u,810000.0,S,0,Woodards,3.0,2.0,1.0,65.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,4,h,1365000.0,PI,10,Marshall,4.0,1.0,1.0,151.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,h,700000.0,S,6,Thomson,0.0,0.0,0.0,94.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,4,h,1698888.0,S,1,hockingstuart,4.0,2.0,2.0,337.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,4,t,1300000.0,PI,7,Buxton,1.0,2.0,0.0,87.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,4,t,1400000.0,S,6,Buxton,2.0,2.0,0.0,558.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,4,h,805071.0,SP,1,hockingstuart,4.0,2.0,2.0,462.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,4,t,1260000.0,PI,2,hockingstuart,1.0,1.0,0.0,542.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,4,h,1150000.0,S,8,Buxton,4.0,2.0,2.0,259.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,2,u,340000.0,VB,10,Gary,2.0,1.0,1.0,370.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,h,1000000.0,S,1,Woodards,3.0,1.0,2.0,416.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,3,t,1150000.0,S,0,hockingstuart,1.0,1.0,1.0,235.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,t,965000.0,S,10,Buxton,3.0,2.0,1.0,28.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,3,u,870000.0,S,4,Woodards,3.0,2.0,2.0,150.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,h,1405000.0,S,8,Woodards,3.0,1.0,1.0,287.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,4,h,1100000.0,VB,0,Melbourne,1.0,1.0,0.0,200.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,h,1161000.0,S,0,hockingstuart,3.0,2.0,3.0,168.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,4,t,1080000.0,S,9,Buxton,2.0,1.0,0.0,191.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,h,1266000.0,S,9,hockingstuart,3.0,1.0,3.0,146.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,t,700000.0,PI,2,hockingstuart,3.0,2.0,2.0,200.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,h,760751.0,SP,7,Buxton,3.0,1.0,2.0,296.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,4,t,1325000.0,S,6,Buxton,4.0,4.0,2.0,265.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,u,770000.0,PI,8,hockingstuart,3.0,2.0,1.0,132.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,h,1110000.0,S,9,hockingstuart,3.0,1.0,6.0,538.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,1,u,380000.0,S,9,hockingstuart,1.0,1.0,1.0,99.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,4,h,1175000.0,S,1,RT,4.0,2.0,2.0,158.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,h,1200000.0,S,10,Woodards,3.0,1.0,1.0,120.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,t,780101.0,S,5,hockingstuart,2.0,2.0,1.0,586.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,4,h,1370000.0,SP,4,Gary,4.0,1.0,2.0,196.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,4,h,1433500.0,S,0,Hodges,4.0,1.0,1.0,186.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,2,h,1630000.0,S,9,C21,2.0,1.0,2.0,364.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,t,323987.0,W,5,Ray,3.0,1.0,1.0,100.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,3,h,1360000.0,SP,5,Woodards,3.0,1.0,3.0,33.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,4,h,900000.0,VB,2,Gary,3.0,1.0,2.0,188.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,t,860000.0,PI,1,hockingstuart,3.0,2.0,1.0,131.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,t,1216000.0,S,4,Buxton,2.0,2.0,1.0,468.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,2,u,772500.0,S,0,Anderson,2.0,1.0,2.0,460.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,3,h,1001000.0,S,3,Gary,3.0,1.0,1.0,595.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,2,u,715000.0,S,6,hockingstuart,2.0,1.0,1.0,114.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,h,801000.0,S,4,Buxton,3.0,1.0,1.0,340.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,h,1155000.0,S,3,Buxton,2.0,2.0,1.0,293.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,t,882000.0,S,1,Ray,3.0,2.0,2.0,532.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,2,h,1180000.0,S,5,Buxton,2.0,1.0,1.0,136.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,4,t,336759.0,S,8,Buxton,2.0,2.0,0.0,142.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,t,840000.0,S,1,Buxton,3.0,2.0,2.0,483.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,2,h,710000.0,S,6,Buxton,2.0,1.0,1.0,115.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,4,h,1040000.0,VB,3,Buxton,4.0,2.0,2.0,368.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,5,h,1550000.0,PI,4,hockingstuart,5.0,3.0,2.0,296.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,h,930000.0,S,5,Buxton,3.0,2.0,2.0,148.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,u,790000.0,S,5,hockingstuart,3.0,1.0,2.0,100.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,3,h,1040000.0,S,6,Hodges,3.0,1.0,2.0,557.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,3,h,1020000.0,S,5,Nick,3.0,1.0,2.0,144.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,3,t,670000.0,PI,7,Bayside,3.0,1.0,2.0,548.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,5,h,1305000.0,S,8,Buxton,2.0,1.0,1.0,405.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,4,t,1235000.0,S,8,Buxton,1.0,1.0,1.0,376.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,u,800000.0,S,8,Woodards,3.0,2.0,2.0,287.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,4,t,1120000.0,PI,9,Buxton,3.0,2.0,2.0,241.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,t,970000.0,VB,4,hockingstuart,3.0,2.0,2.0,581.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,3,t,787500.0,S,1,Hodges,3.0,2.0,1.0,553.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,6,h,1300000.0,S,0,Buxton,1.0,1.0,0.0,264.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,h,950000.0,PI,8,Greg,3.0,1.0,1.0,324.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,4,h,1600000.0,S,10,Buxton,2.0,2.0,0.0,577.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,3,h,886000.0,S,3,Ray,3.0,2.0,1.0,122.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,4,t,1210000.0,S,7,Marshall,1.0,2.0,0.0,587.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,3,t,780000.0,PI,3,Buxton,3.0,2.0,1.0,187.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,t,899331.0,S,10,Buxton,1.0,2.0,0.0,474.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,4,h,1015000.0,S,8,C21,4.0,2.0,3.0,198.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,4,t,1200000.0,PI,2,Marshall,1.0,1.0,0.0,483.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,3,u,830000.0,S,0,Woodards,3.0,2.0,2.0,70.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,3,h,1241000.0,S,8,Hodges,3.0,1.0,1.0,218.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,4,h,1255000.0,S,6,Buxton,4.0,2.0,2.0,167.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,4,t,1025000.0,PI,6,Buxton,2.0,2.0,1.0,347.0,Glen Eira City Council,Southern Metropolitan,large
Bentleigh East,3,h,1320000.0,S,8,Buxton,3.0,1.0,1.0,94.0,Glen Eira City Council,Southern Metropolitan,tiny
Bentleigh East,3,h,870000.0,S,10,Gary,3.0,2.0,1.0,133.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,5,h,326539.0,SP,1,Buxton,5.0,2.0,4.0,156.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,4,h,1472500.0,S,0,hockingstuart,4.0,2.0,2.0,219.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,2,h,640000.0,PI,7,hockingstuart,2.0,2.0,2.0,118.0,Glen Eira City Council,Southern Metropolitan,small
Bentleigh East,2,h,1160000.0,S,6,Buxton,2.0,1.0,2.0,175.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,4,t,1210000.0,S,9,hockingstuart,1.0,1.0,1.0,554.0,Glen Eira City Council,Southern Metropolitan,extra-large
Bentleigh East,4,h,1306000.0,S,6,Buxton,3.0,2.0,1.0,193.0,Glen Eira City Council,Southern Metropolitan,medium
Bentleigh East,3,h,1291000.0,S,0,hockingstuart,3.0,1.0,2.0,148.0,Glen Eira City Council,Southern Metropolitan,small
Box Hill,4,h,1620000.0,S,5,hockingstuart,4.0,2.0,2.0,255.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,2,u,508898.0,S,5,RW,2.0,1.0,1.0,58.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,2,u,645000.0,S,0,McGrath,2.0,1.0,1.0,81.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,2,u,790000.0,S,3,Noel,2.0,1.0,1.0,171.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,4,h,880000.0,S,3,Ray,4.0,2.0,2.0,342.0,Whitehorse City Council,Eastern Metropolitan,large
Box Hill,3,h,888093.0,S,4,Christopher,3.0,2.0,2.0,146.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,5,h,773064.0,PI,3,Ray,1.0,2.0,0.0,246.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,3,h,1152399.0,PN,6,Ray,3.0,1.0,2.0,112.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,2,u,569462.0,PN,10,Woodards,3.0,2.0,1.0,103.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,4,t,263076.0,PI,8,Philip,2.0,2.0,0.0,297.0,Whitehorse City Council,Eastern Metropolitan,large
Box Hill,4,h,1560000.0,PI,4,Jellis,3.0,2.0,3.0,167.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,5,h,1181555.0,S,3,Noel,5.0,3.0,4.0,1044.0,Whitehorse City Council,Eastern Metropolitan,extra-large
Box Hill,10,h,1137435.0,S,2,Woodards,9.0,3.0,2.0,224.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,3,h,1715000.0,SP,6,Marshall,3.0,2.0,2.0,170.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,3,h,1200000.0,SP,9,Marshall,3.0,1.0,2.0,110.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,3,h,1760000.0,S,3,Fletchers,3.0,1.0,0.0,151.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,1,u,288000.0,SP,7,hockingstuart,1.0,1.0,1.0,469.0,Whitehorse City Council,Eastern Metropolitan,extra-large
Box Hill,3,h,948000.0,S,9,Ray,3.0,1.0,2.0,108.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,4,h,2770000.0,S,6,Lindellas,4.0,1.0,2.0,534.0,Whitehorse City Council,Eastern Metropolitan,extra-large
Box Hill,3,h,1412000.0,S,7,Noel,3.0,1.0,1.0,138.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,2,u,465000.0,S,0,Ray,2.0,2.0,1.0,65.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,4,t,975000.0,VB,7,Lindellas,4.0,2.0,2.0,158.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,3,h,1325000.0,S,5,Lindellas,3.0,1.0,1.0,134.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,3,t,750000.0,S,0,Jellis,3.0,2.0,1.0,3.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,3,h,1400000.0,S,4,hockingstuart,3.0,2.0,1.0,159.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,3,h,1500000.0,SP,5,Ray,3.0,1.0,2.0,106.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,4,h,1600000.0,S,0,Fletchers,4.0,2.0,1.0,195.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,2,u,616000.0,S,1,Philip,3.0,1.0,1.0,216.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,4,h,1661000.0,S,8,Noel,4.0,2.0,2.0,477.0,Whitehorse City Council,Eastern Metropolitan,extra-large
Box Hill,4,h,1461400.0,S,4,Allens,3.0,2.0,2.0,235.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,3,u,775000.0,S,10,Fletchers,3.0,1.0,1.0,108.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,4,h,1506000.0,S,6,hockingstuart,4.0,2.0,3.0,115.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,4,h,1670000.0,S,8,Noel,4.0,4.0,4.0,162.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,2,u,900510.0,SN,10,Mandy,2.0,1.0,2.0,200.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,1,u,340000.0,SP,3,Lindellas,1.0,1.0,1.0,376.0,Whitehorse City Council,Eastern Metropolitan,large
Box Hill,2,u,624012.0,PI,6,Woodards,2.0,1.0,1.0,73.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,3,h,4000000.0,VB,1,Lindellas,3.0,1.0,2.0,120.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,3,h,928000.0,S,5,Lindellas,3.0,1.0,1.0,106.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,2,u,761000.0,S,3,Marshall,2.0,2.0,1.0,328.0,Whitehorse City Council,Eastern Metropolitan,large
Box Hill,2,u,636000.0,S,1,Philip,2.0,1.0,1.0,82.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,4,h,1625000.0,S,3,Noel,4.0,2.0,2.0,118.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,4,h,1430000.0,S,10,Noel,4.0,2.0,0.0,252.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,3,h,836000.0,S,0,Jellis,3.0,1.0,2.0,158.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,2,u,400000.0,VB,2,Ray,2.0,1.0,1.0,580.0,Whitehorse City Council,Eastern Metropolitan,extra-large
Box Hill,3,h,1170000.0,S,7,Ray,3.0,1.0,1.0,95.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,4,h,1670000.0,S,2,Marshall,4.0,2.0,2.0,231.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,4,h,1750000.0,S,0,Ray,2.0,1.0,1.0,164.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,2,u,737000.0,S,1,hockingstuart,1.0,2.0,1.0,330.0,Whitehorse City Council,Eastern Metropolitan,large
Box Hill,5,h,311659.0,PI,4,Ray,5.0,2.0,2.0,238.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,4,t,827526.0,SN,3,Woodards,2.0,1.0,0.0,391.0,Whitehorse City Council,Eastern Metropolitan,large
Box Hill,4,h,1127604.0,PI,6,Noel,4.0,2.0,2.0,185.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,4,h,1125000.0,S,5,Ray,1.0,2.0,1.0,232.0,Whitehorse City Council,Eastern Metropolitan,medium
Box Hill,3,h,1351000.0,S,4,Jellis,3.0,1.0,2.0,63.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,3,h,857000.0,S,2,Fletchers,4.0,1.0,1.0,119.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,3,t,822500.0,S,1,Noel,3.0,2.0,1.0,130.0,Whitehorse City Council,Eastern Metropolitan,small
Box Hill,2,u,560000.0,S,10,Stockdale,2.0,1.0,1.0,75.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,3,t,730929.0,SN,10,Allens,3.0,2.0,1.0,99.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,2,u,420000.0,VB,6,Jellis,2.0,1.0,1.0,95.0,Whitehorse City Council,Eastern Metropolitan,tiny
Box Hill,5,h,946942.0,PI,5,Philip,5.0,2.0,2.0,207.0,Whitehorse City Council,Eastern Metropolitan,medium
Braybrook,4,h,816958.0,W,3,Sweeney,4.0,1.0,1.0,94.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,3,h,870000.0,S,5,Barry,3.0,2.0,4.0,343.0,Maribyrnong City Council,Western Metropolitan,large
Braybrook,2,h,645000.0,S,0,Barry,2.0,1.0,1.0,75.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,3,t,502000.0,SP,3,Sweeney,3.0,1.0,1.0,106.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,3,u,495000.0,S,3,Bells,3.0,2.0,1.0,124.0,Maribyrnong City Council,Western Metropolitan,small
Braybrook,3,h,660000.0,S,9,Sweeney,3.0,1.0,0.0,230.0,Maribyrnong City Council,Western Metropolitan,medium
Braybrook,2,h,868000.0,S,8,Bells,2.0,1.0,4.0,77.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,4,h,645000.0,SP,10,Biggin,4.0,2.0,1.0,154.0,Maribyrnong City Council,Western Metropolitan,small
Braybrook,3,h,652000.0,S,6,Barry,3.0,2.0,1.0,145.0,Maribyrnong City Council,Western Metropolitan,small
Braybrook,4,h,426185.0,PI,1,Burnham,2.0,2.0,0.0,542.0,Maribyrnong City Council,Western Metropolitan,extra-large
Braybrook,4,h,850000.0,SA,5,Sweeney,4.0,2.0,2.0,240.0,Maribyrnong City Council,Western Metropolitan,medium
Braybrook,3,h,740000.0,S,8,Sweeney,2.0,1.0,0.0,438.0,Maribyrnong City Council,Western Metropolitan,extra-large
Braybrook,3,h,570000.0,SP,8,Prof.,1.0,2.0,0.0,499.0,Maribyrnong City Council,Western Metropolitan,extra-large
Braybrook,2,t,913256.0,SP,9,Nguyen,2.0,2.0,0.0,433.0,Maribyrnong City Council,Western Metropolitan,extra-large
Braybrook,3,h,570500.0,S,7,Trimson,3.0,1.0,1.0,478.0,Maribyrnong City Council,Western Metropolitan,extra-large
Braybrook,3,h,575000.0,S,6,Trimson,3.0,1.0,3.0,98.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,4,h,882000.0,S,9,Village,4.0,2.0,2.0,216.0,Maribyrnong City Council,Western Metropolitan,medium
Braybrook,3,h,730000.0,S,8,Barry,3.0,2.0,2.0,135.0,Maribyrnong City Council,Western Metropolitan,small
Braybrook,2,h,670000.0,S,4,Douglas,2.0,1.0,2.0,308.0,Maribyrnong City Council,Western Metropolitan,large
Braybrook,2,t,445000.0,PI,8,Batty,2.0,1.0,1.0,515.0,Maribyrnong City Council,Western Metropolitan,extra-large
Braybrook,3,h,585000.0,S,2,Barry,3.0,2.0,2.0,299.0,Maribyrnong City Council,Western Metropolitan,large
Braybrook,3,t,211126.0,SN,10,GL,1.0,2.0,0.0,371.0,Maribyrnong City Council,Western Metropolitan,large
Braybrook,2,h,826000.0,S,6,Sweeney,2.0,1.0,2.0,164.0,Maribyrnong City Council,Western Metropolitan,medium
Braybrook,4,h,720000.0,S,1,Bells,1.0,1.0,1.0,162.0,Maribyrnong City Council,Western Metropolitan,medium
Braybrook,3,h,339234.0,SN,5,Bells,2.0,1.0,2.0,79.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,3,h,206242.0,SP,9,GL,3.0,1.0,1.0,108.0,Maribyrnong City Council,Western Metropolitan,small
Braybrook,3,h,600000.0,S,10,Jas,1.0,2.0,1.0,248.0,Maribyrnong City Council,Western Metropolitan,medium
Braybrook,4,h,610000.0,VB,7,Biggin,4.0,2.0,1.0,154.0,Maribyrnong City Council,Western Metropolitan,small
Braybrook,3,h,610000.0,VB,4,GL,2.0,1.0,0.0,207.0,Maribyrnong City Council,Western Metropolitan,medium
Braybrook,3,h,696000.0,S,0,YPA,3.0,1.0,0.0,90.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,2,h,660000.0,S,10,Barry,2.0,1.0,1.0,81.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,3,t,579000.0,S,3,Sweeney,3.0,2.0,1.0,144.0,Maribyrnong City Council,Western Metropolitan,small
Braybrook,4,h,856500.0,S,10,Sweeney,4.0,2.0,2.0,459.0,Maribyrnong City Council,Western Metropolitan,extra-large
Braybrook,2,t,380000.0,PI,8,Burnham,1.0,2.0,0.0,331.0,Maribyrnong City Council,Western Metropolitan,large
Braybrook,3,h,510000.0,SP,2,Sweeney,3.0,1.0,2.0,396.0,Maribyrnong City Council,Western Metropolitan,large
Braybrook,4,t,442258.0,PI,1,Barry,4.0,2.0,2.0,176.0,Maribyrnong City Council,Western Metropolitan,medium
Braybrook,3,t,536000.0,S,5,Barry,1.0,1.0,0.0,449.0,Maribyrnong City Council,Western Metropolitan,extra-large
Braybrook,3,h,765000.0,S,1,GL,3.0,1.0,1.0,105.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,2,t,475000.0,S,3,Barry,2.0,1.0,1.0,104.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,4,h,550000.0,S,4,Barry,4.0,2.0,1.0,160.0,Maribyrnong City Council,Western Metropolitan,small
Braybrook,3,t,505000.0,PI,0,Nelson,3.0,2.0,2.0,197.0,Maribyrnong City Council,Western Metropolitan,medium
Braybrook,3,h,495000.0,S,5,Burnham,3.0,1.0,1.0,138.0,Maribyrnong City Council,Western Metropolitan,small
Braybrook,3,h,680000.0,S,9,Barry,3.0,1.0,1.0,466.0,Maribyrnong City Council,Western Metropolitan,extra-large
Braybrook,3,h,565000.0,S,3,Nelson,3.0,2.0,1.0,78.0,Maribyrnong City Council,Western Metropolitan,tiny
Braybrook,3,h,697500.0,S,5,Sweeney,3.0,2.0,1.0,70.0,Maribyrnong City Council,Western Metropolitan,tiny
Brighton,3,h,1550000.0,VB,0,Buxton,3.0,2.0,2.0,238.0,Bayside City Council,Southern Metropolitan,medium
Brighton,4,h,259014.0,S,9,Marshall,3.0,3.0,2.0,254.0,Bayside City Council,Southern Metropolitan,medium
Brighton,3,h,1635000.0,S,8,Buxton,3.0,1.0,2.0,156.0,Bayside City Council,Southern Metropolitan,small
Brighton,3,h,876457.0,S,6,Buxton,3.0,2.0,4.0,269.0,Bayside City Council,Southern Metropolitan,large
Brighton,3,h,808590.0,SP,7,Marshall,3.0,1.0,1.0,136.0,Bayside City Council,Southern Metropolitan,small
Brighton,4,h,1830000.0,S,5,Hodges,4.0,2.0,2.0,313.0,Bayside City Council,Southern Metropolitan,large
Brighton,3,t,1300000.0,PI,2,Nick,1.0,1.0,1.0,113.0,Bayside City Council,Southern Metropolitan,small
Brighton,4,h,3695000.0,S,9,Marshall,4.0,3.0,2.0,284.0,Bayside City Council,Southern Metropolitan,large
Brighton,5,h,889846.0,S,6,Marshall,5.0,3.0,2.0,432.0,Bayside City Council,Southern Metropolitan,extra-large
Brighton,4,h,207771.0,SP,6,Nick,4.0,2.0,2.0,258.0,Bayside City Council,Southern Metropolitan,large
Brighton,2,u,536000.0,SP,6,Hodges,2.0,1.0,2.0,70.0,Bayside City Council,Southern Metropolitan,tiny
Brighton,4,h,899607.0,PN,10,Biggin,4.0,2.0,2.0,146.0,Bayside City Council,Southern Metropolitan,small
Brighton,4,h,3700000.0,S,0,Marshall,4.0,3.0,2.0,247.0,Bayside City Council,Southern Metropolitan,medium
Brighton,4,h,3775000.0,S,4,Buxton,4.0,3.0,2.0,468.0,Bayside City Council,Southern Metropolitan,extra-large
Brighton,3,h,1975000.0,S,9,Buxton,3.0,1.0,2.0,122.0,Bayside City Council,Southern Metropolitan,small
